IdConvalidacion,NombreEstudiante,PaisOrigen,UniversidadOrigen,Anio,Semestre
C0001,Sofía Cruz 1,Perú,Universidad de Chile,2020,2
C0002,Laura Ríos 2,Chile,Universidad Nacional,2024,1
C0003,Sofía Cruz 3,Argentina,Universidad Nacional,2022,2
C0004,Carlos Ruiz 4,Chile,Universidad Nacional,2025,2
C0005,María Gómez 5,Perú,Universidad Nacional,2022,1
C0006,Juan Pérez 6,Colombia,Universidad de Chile,2023,1
C0007,Sofía Cruz 7,Argentina,UBA,2022,2
C0008,Ana Torres 8,Perú,Universidad de Chile,2022,1
C0009,Pedro Paz 9,España,Universidad de Barcelona,2020,2
C0010,Sofía Cruz 10,México,PUCP,2022,1
C0011,Ana Torres 11,Colombia,Universidad de Chile,2022,2
C0012,Pedro Paz 12,España,UNAM,2020,2
C0013,Luis Silva 13,Colombia,UBA,2021,2
C0014,María Gómez 14,Chile,UBA,2024,2
C0015,Laura Ríos 15,Colombia,UBA,2024,2
C0016,María Gómez 16,Chile,UNAM,2023,1
C0017,Pedro Paz 17,España,Universidad de Barcelona,2021,2
C0018,Laura Ríos 18,Chile,Universidad de Barcelona,2020,2
C0019,Ana Torres 19,Argentina,UBA,2020,1
C0020,Carlos Ruiz 20,España,Universidad Nacional,2022,1
C0021,Pedro Paz 21,Chile,Universidad de Barcelona,2020,2
C0022,Carlos Ruiz 22,Chile,UBA,2025,1
C0023,Luis Silva 23,Chile,UBA,2024,1
C0024,Carlos Ruiz 24,Perú,Universidad de Barcelona,2020,1
C0025,Juan Pérez 25,Colombia,UNAM,2022,1
C0026,María Gómez 26,España,UBA,2023,1
C0027,Carlos Ruiz 27,España,Universidad de Chile,2021,2
C0028,Carlos Ruiz 28,México,Universidad de Barcelona,2023,2
C0029,Carlos Ruiz 29,México,UBA,2024,2
C0030,Ana Torres 30,Perú,Universidad de Chile,2022,2
